Fecha,Dia,Conmemoracion,Fecha_Dia,Fecha_Mes,Fecha_Año,Fecha_MDA,Fecha_DT
01/01/15,Jueves,Ano Nuevo,01,01,15,01/01/15,2015-01-01
02/01/15,Viernes,Desconocido,02,01,15,01/02/15,2015-01-02
16/02/15,Lunes,Carnaval,16,02,15,02/16/15,2015-02-16
17/02/15,Lunes,Carnaval,17,02,15,02/17/15,2015-02-17
23/03/15,Lunes,Feriado Puente Turistico,23,03,15,03/23/15,2015-03-23
24/03/15,Martes,Dia Nacional De La Memoria Por La Verdad Y La Justicia,24,03,15,03/24/15,2015-03-24
02/04/15,Jueves,Dia Del Vet. Y De Los Caidos En La Guerra En Malvinas Jueves Santo Festividad Cristiana,02,04,15,04/02/15,2015-04-02
03/04/15,Viernes,Pascua Judia,03,04,15,04/03/15,2015-04-03
04/04/15,Sabado,Pascua Judia,04,04,15,04/04/15,2015-04-04
05/04/15,Domingo,Pascua Judia,05,04,15,04/05/15,2015-04-05
09/04/15,Jueves,Pascua Judia,09,04,15,04/09/15,2015-04-09
10/04/15,Viernes,Pascua Judia,10,04,15,04/10/15,2015-04-10
11/04/15,Sabado,Pascua Judia,11,04,15,04/11/15,2015-04-11
24/04/15,Viernes,Dia De Accion Por La Tolerancia Y El Respeto Entre Los Pueblos.,24,04,15,04/24/15,2015-04-24
01/05/15,Viernes,Dia Del Trabajador,01,05,15,05/01/15,2015-05-01
15/05/15,Viernes,Dia Del Docente Universitario,15,05,15,05/15/15,2015-05-15
25/05/15,Lunes,Primer Gobierno Patrio,25,05,15,05/25/15,2015-05-25
20/06/15,Sabado,Paso A La Inmortalidad Del Gral. Belgrano,20,06,15,06/20/15,2015-06-20
09/07/15,Jueves,Dia De La Independencia,09,07,15,07/09/15,2015-07-09
10/07/15,Viernes,Desconocido,10,07,15,07/10/15,2015-07-10
17/08/15,Lunes,Paso A La Inmortalidad Del Gral. Jose De San Martin,17,08,15,08/17/15,2015-08-17
12/10/15,Lunes,Dia Del Respeto A La Diversidad Cultural,12,10,15,10/12/15,2015-10-12
20/11/15,Viernes,Dia De La Soberania Nacional,20,11,15,11/20/15,2015-11-20
07/12/15,Lunes,Desconocido,07,12,15,12/07/15,2015-12-07
08/12/15,Martes,Inmaculada Concepcion De Maria,08,12,15,12/08/15,2015-12-08
10/12/15,Jueves,Dia Internacional De Los Derechos Humanos,10,12,15,12/10/15,2015-12-10
20/12/15,Domingo,Desconocido,20,12,15,12/20/15,2015-12-20
21/12/15,Lunes,Desconocido,21,12,15,12/21/15,2015-12-21
24/12/15,Jueves,Nochebuena,24,12,15,12/24/15,2015-12-24
25/12/15,Viernes,Navidad,25,12,15,12/25/15,2015-12-25
31/12/15,Jueves,Fin De Ano,31,12,15,12/31/15,2015-12-31
01/01/16,Viernes,Ano Nuevo,01,01,16,01/01/16,2016-01-01
08/02/16,Lunes,Desconocido,08,02,16,02/08/16,2016-02-08
09/02/16,Martes,Carnaval,09,02,16,02/09/16,2016-02-09
10/02/16,Miercoles,Carnaval,10,02,16,02/10/16,2016-02-10
20/02/16,Sabado,Desconocido,20,02,16,02/20/16,2016-02-20
21/02/16,Domingo,Desconocido,21,02,16,02/21/16,2016-02-21
22/02/16,Lunes,Carnaval,22,02,16,02/22/16,2016-02-22
23/02/16,Martes,Carnaval,23,02,16,02/23/16,2016-02-23
24/03/16,Jueves,Dia Nacional De La Memoria Por La Verdad Y La Justicia,24,03,16,03/24/16,2016-03-24
25/03/16,Viernes,Aniversario Golpe De Estado Del 24 De Marzo De 1976,25,03,16,03/25/16,2016-03-25
24/03/16,Desconocido,Desconocido,24,03,16,03/24/16,2016-03-24
02/04/16,Sabado,Dia Del Vet. Y De Los Caidos En La Guerra En Malvinas,02,04,16,04/02/16,2016-04-02
24/04/16,Domingo,Dia De Accion Por La Tolerancia Y El Respeto Entre Los Pueblos.,24,04,16,04/24/16,2016-04-24
01/05/16,Domingo,Dia Del Trabajador,01,05,16,05/01/16,2016-05-01
02/05/16,Lunes,Feriado Puente Turistico,02,05,16,05/02/16,2016-05-02
25/05/16,Miercoles,Primer Gobierno Patrio,25,05,16,05/25/16,2016-05-25
20/06/16,Lunes,Paso A La Inmortalidad Del Gral. Belgrano,20,06,16,06/20/16,2016-06-20
09/07/16,Sabado,Dia De La Independencia,09,07,16,07/09/16,2016-07-09
17/08/16,Miercoles,Paso A La Inmortalidad Del Gral. Jose De San Martin,17,08,16,08/17/16,2016-08-17
12/10/16,Miercoles,Dia Del Respeto A La Diversidad Cultural,12,10,16,10/12/16,2016-10-12
20/11/16,Domingo,Dia De La Soberania Nacional,20,11,16,11/20/16,2016-11-20
25/11/16,Viernes,(10),25,11,16,11/25/16,2016-11-25
08/12/16,Jueves,Inmaculada Concepcion De Maria,08,12,16,12/08/16,2016-12-08
09/12/16,Viernes,(10),09,12,16,12/09/16,2016-12-09
10/12/16,Sabado,(10),10,12,16,12/10/16,2016-12-10
25/12/16,Domingo,Navidad,25,12,16,12/25/16,2016-12-25
31/12/16,Sabado,Fin De Ano,31,12,16,12/31/16,2016-12-31
01/01/17,Domingo,Ano Nuevo,01,01,17,01/01/17,2017-01-01
20/02/17,Lunes,Desconocido,20,02,17,02/20/17,2017-02-20
24/02/17,Viernes,Feriado Puente Turistico,24,02,17,02/24/17,2017-02-24
01/03/17,Miercoles,Desconocido,01,03,17,03/01/17,2017-03-01
24/03/17,Viernes,Aniversario Golpe De Estado Del 24 De Marzo De 1976,24,03,17,03/24/17,2017-03-24
02/04/17,Domingo,Dia Del Vet. Y De Los Caidos En La Guerra En Malvinas,02,04,17,04/02/17,2017-04-02
24/04/17,Lunes,Feriado Puente Turistico,24,04,17,04/24/17,2017-04-24
01/05/17,Lunes,Dia Del Trabajador,01,05,17,05/01/17,2017-05-01
25/05/17,Jueves,Primer Gobierno Patrio,25,05,17,05/25/17,2017-05-25
20/06/17,Martes,Paso A La Inmortalidad Del Gral. Belgrano,20,06,17,06/20/17,2017-06-20
